1-state,2-city,3-street,4-number
SP,Cotia,Rua Nova Amazonas,701
SP,Taboao da Serra,Rua Antonio de Oliveira Salazar,847
SP,Embu das Artes,Rua Santa Teresa,285
SP,Embu das Artes,Rua Marechal Hermes da Fonseca,35
SP,Itapecerica da Serra,Avenida Maximino Augusto de Carvalho,720
SP,Guarulhos,Avenida Duarte da Costa,91
SP,Guarulhos,Rua Emilia Gali Augusto,23
SP,Guarulhos,Avenida Jose Lourenco Neves,651
SP,Guarulhos,Rua Indiapora,521
SP,Guarulhos,Avenida Jacupiranga,127
SP,Aruja,Rua Vida e Arte,107
SP,Sao Paulo,Avenida Marechal Tito,933
SP,Sao Paulo,Rua Serra da Moeda,54
SP,Sao Paulo,Rua Ary Cordovil,267
SP,Sao Paulo,Rua Minduri,2
SP,Sao Paulo,Rua Pedro Ferraz Barreto,99
SP,Sao Paulo,Rua Manuel Ribas,158
SP,Sao Paulo,Rua Jose Henrique Tomaz de Lima,201
SP,Sao Paulo,Rua Amanari,413
SP,Sao Paulo,Rua Fernandes Tenorio,235
SP,Sao Paulo,Avenida Mariana de Sousa Guerra,708
SP,Sao Paulo,Largo Giocara,15
SP,Sao Paulo,Rua Ayrton Senna,174
SP,Sao Paulo,Rua Dona Eloa do Valle Quadros,816
SP,Ferraz de Vasconcelos,R. Masato Sakai,180
SP,Poa,Rua Padre Eustaquio,163
SP,Itaquaquecetuba,Rua Natal,283
SP,Suzano,Rua Alfredo Batista Pizolato,269
SP,Santo Andre,Rua Cisplatina,"1,344"
SP,Santo Andre,Avenida Pereira Barreto,626
SP,Santo Andre,Rua Rossini,80
SP,Santo Andre,Rua Tumiaru,81
SP,Maua,Rua Dona Ida Scilla Gianone,39
SP,Maua,Rua Porto Feliz,121
SP,Ribeirao Pires,Avenida Fortuna,151
SP,Sao Caetano do Sul,Avenida Conselheiro Antonio Prado,137
SP,Sao Caetano do Sul,R. Castro Alves,10
SP,Sao Caetano do Sul,Rua Taipas,"1,195"
SP,Sao Bernardo do Campo,Rua Jose Erdeg,182
SP,Sao Bernardo do Campo,Rua Afonso Celso Figueiredo,280
SP,Sao Bernardo do Campo,Rua Professor Norberto Denzin,100
SP,Sao Bernardo do Campo,Rua Giacinto Tognato,"2,400"
SP,Sao Bernardo do Campo,Rua Doutor Antonio Jorge Franco,368
SP,Sao Bernardo do Campo,Rua Mario Missirolli,100
SP,Sao Bernardo do Campo,Rua Arlindo Januario de Almeida,499
SP,Diadema,Rua Almerinda Maria da Silva,10
SP,Campinas,Rua Copaiba,50
SP,Campinas,Rua Delonix,50
SP,Campinas,Rua Osvaldo Von Zuben,50
SP,Campinas,Rua Caicara,50
SP,Campinas,Alameda das Palmeiras,50
SP,Campinas,Rua Adolfo Maracini,223
SP,Campinas,Rua Bento de Arruda Camargo,500
SP,Campinas,Avenida Jose de Souza Campos,"2,400"
SP,Campinas,Rua Uruguaiana,"1,000"
SP,Campinas,Rua Cosme Pelegrini,50
SP,Campinas,Estrada da Coudelaria,50
SP,Campinas,Rua Emani Paulino,50
SP,Campinas,Rua Ramalho Ortigao,50
SP,Campinas,Avenida Artur Paioli,100
SP,Campinas,Rua Doutor Barbosa da Cunha,50
SP,Campinas,Rua Raul de Souza Campos,50
SP,Campinas,Rodovia Anhanguera (Marginal),50
SP,Campinas,Rua Antonio Grandin,50
SP,Campinas,Avenida Santa Isabel,50
SP,Campinas,Rua Amadeu Martins,50
SP,Campinas,Av. Jose Pancetti,982
SP,Campinas,Rua Cobre,50
SP,Campinas,Rua Althea Astolfi Favali,50
SP,Campinas,Avenida Soldado Passarinho,50
SP,Campinas,Rua das Imbuias,50
SP,Campinas,Rua Antonio Finati Sobrinho,50
SP,Campinas,Rua Doutora Joana Zanaga Aboim Gomes,50
